City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Viedma,AR,-40.8135,-62.9967,51.13,55,63,8.41,broken clouds
169,La Palma,US,33.8464,-118.0467,97.9,49,75,5.75,broken clouds
170,Barrow,US,71.2906,-156.7887,41.47,78,49,7.63,scattered clouds
171,Palu,ID,-0.8917,119.8707,75.49,98,100,1.45,heavy intensity rain
172,Georgetown,MY,5.4112,100.3354,80.89,84,40,4.61,scattered clouds
173,Coari,BR,-4.085,-63.1414,87.6,55,77,1.16,broken clouds
174,Seymchan,RU,62.8833,152.4333,60.19,63,50,10.4,scattered clouds
175,Saint-Philippe,RE,-21.3585,55.7679,66.22,81,66,14.54,light rain
176,Saint George,US,37.1041,-113.5841,95.43,35,0,4.61,clear sky
177,Geraldton,AU,-28.7667,114.6,57.61,72,75,19.57,broken clouds
178,Muyezerskiy,RU,63.9333,31.65,51.24,96,99,4.74,overcast clouds
179,Constitucion,CL,-35.3333,-72.4167,53.6,80,80,2.26,broken clouds
180,Ponta Do Sol,PT,32.6667,-17.1,75.0,81,1,5.03,clear sky
181,Iqaluit,CA,63.7506,-68.5145,49.69,76,92,5.99,overcast clouds
182,Dolores,AR,-36.3132,-57.6792,54.25,80,78,6.33,broken clouds
183,Brae,GB,60.3964,-1.353,51.35,82,5,7.34,clear sky
184,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,85.66,22,0,3.56,clear sky
185,Castro,BR,-24.7911,-50.0119,58.26,63,0,2.13,clear sky
186,Ilmajoki,FI,62.7333,22.5667,56.21,89,0,4.61,clear sky
187,Parkes,AU,-33.1333,148.1833,50.36,94,93,7.07,overcast clouds
188,Amarante Do Maranhao,BR,-5.5667,-46.7422,80.28,62,63,3.44,broken clouds
189,Balykshi,KZ,47.0667,51.8667,77.0,47,0,4.47,clear sky
190,Tiksi,RU,71.6872,128.8694,42.55,96,100,13.44,light rain
191,Port Shepstone,ZA,-30.7414,30.455,57.88,69,29,10.22,scattered clouds
192,Navahrudak,BY,53.6,25.8333,59.52,95,100,9.75,overcast clouds
193,Port Elizabeth,ZA,-33.918,25.5701,49.32,81,4,7.0,clear sky
194,Santa Cruz,BO,-17.8,-63.1667,82.45,47,20,17.27,few clouds
195,Hendek,TR,40.7994,30.7481,67.53,94,4,2.48,clear sky
196,Waipawa,NZ,-41.4122,175.5153,41.13,84,4,3.47,clear sky
