City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Nikki,BJ,2022-07-23 04:58:45,9.9401,3.2108,69.75,98,100,5.61
152,Chara,RU,2022-07-23 04:58:46,56.9064,118.2631,81.77,52,64,1.41
153,Laguna,US,2022-07-23 04:58:46,38.421,-121.4238,81.32,32,0,6.91
154,Likasi,CD,2022-07-23 04:55:10,-10.9814,26.7333,53.85,70,6,3.67
155,Lerwick,GB,2022-07-23 04:58:47,60.1545,-1.1494,50.0,80,100,6.58
156,Sadabad,IN,2022-07-23 04:58:48,27.45,78.05,91.71,56,100,14.18
157,Ghansor,IN,2022-07-23 04:58:48,22.65,79.95,80.22,81,100,4.94
158,Bendigo,AU,2022-07-23 04:57:26,-36.7667,144.2833,53.64,82,100,5.97
159,Golubitskaya,RU,2022-07-23 04:58:49,45.3222,37.2822,72.01,65,12,17.31
160,Safaga,EG,2022-07-23 04:58:49,26.7292,33.9365,88.16,34,24,16.04
161,Shubarkuduk,KZ,2022-07-23 04:58:49,49.1447,56.4872,81.99,36,27,6.67
162,Northam,GB,2022-07-23 04:58:50,51.0333,-4.2167,58.39,92,89,8.14
163,Borovskoy,KZ,2022-07-23 04:58:50,53.8,64.15,72.88,57,7,10.16
164,Kitimat,CA,2022-07-23 04:58:51,54.0524,-128.6534,70.18,57,12,3.0
165,Margate,GB,2022-07-23 04:58:51,51.3813,1.3862,60.31,91,80,6.15
166,Port Augusta,AU,2022-07-23 04:58:52,-32.5,137.7667,69.03,36,0,11.7
167,Codrington,AU,2022-07-23 04:58:52,-38.2667,141.9667,53.65,93,100,12.93
168,Henties Bay,NA,2022-07-23 04:58:53,-22.116,14.2845,56.52,88,2,11.16
169,Yar-Sale,RU,2022-07-23 04:58:53,66.8333,70.8333,48.83,88,100,12.91
170,Lasa,IT,2022-07-23 04:58:53,46.6166,10.7002,62.37,80,99,2.1
171,Paamiut,GL,2022-07-23 04:58:54,61.994,-49.6678,44.4,84,0,11.88
172,Sunyani,GH,2022-07-23 04:58:54,7.3399,-2.3268,67.28,96,93,4.29
173,Greencastle,US,2022-07-23 04:58:55,39.6445,-86.8647,75.11,90,0,4.61
174,Zheleznodorozhnyy,RU,2022-07-23 04:58:55,55.7503,38.0042,70.21,79,63,4.27
175,Daitari,IN,2022-07-23 04:58:55,21.1,85.75,82.51,74,99,9.24
176,Saint George,US,2022-07-23 04:58:56,37.1041,-113.5841,99.95,19,100,1.01
177,Xiongzhou,CN,2022-07-23 04:58:56,25.1167,114.3,98.74,40,0,6.17
178,Pacific Grove,US,2022-07-23 04:58:57,36.6177,-121.9166,61.21,87,38,5.01
179,Tongliao,CN,2022-07-23 04:58:57,43.6125,122.2653,84.6,49,100,4.63
180,Lamar,US,2022-07-23 04:58:57,33.6668,-95.5836,78.64,73,59,7.27
181,Airai,TL,2022-07-23 04:58:58,-8.9266,125.4092,71.15,41,12,3.87
182,Vilyuysk,RU,2022-07-23 04:58:58,63.7553,121.6247,79.99,47,64,0.56
183,Kaitangata,NZ,2022-07-23 04:58:59,-46.2817,169.8464,42.33,84,3,2.3
184,Ostrovnoy,RU,2022-07-23 04:58:59,68.0531,39.5131,55.02,79,89,16.17
185,Yuksekova,TR,2022-07-23 05:00:00,37.5736,44.2872,70.99,34,0,2.98
186,Kununurra,AU,2022-07-23 05:00:00,-15.7667,128.7333,85.98,15,7,8.05
187,Inzer,RU,2022-07-23 05:00:00,54.2167,57.5556,71.8,56,4,3.11
188,Deputatskiy,RU,2022-07-23 05:00:01,69.3,139.9,63.32,44,93,16.2
189,Faya,SA,2022-07-23 05:00:01,18.3851,42.4509,73.04,43,65,3.96
190,Nueva Loja,EC,2022-07-23 05:00:02,0.0847,-76.8828,67.03,89,59,1.9
191,Severo-Kurilsk,RU,2022-07-23 05:00:03,50.6789,156.125,56.08,87,84,5.08
