City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
433,Tuntum,BR,76.98,broken clouds,-5.2581,-44.6489,Casa da Dona Maria Lúcia
434,Matay,EG,86.59,clear sky,28.419,30.7792,Nag Aespen
436,Mahina,PF,82.17,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
439,Guimar,ES,74.68,scattered clouds,28.3039,-16.4325,Hostal Dona Lolita
440,Changji,CN,74.19,clear sky,44.0167,87.3167,Lvye Holiday Resort
443,Sabla,NG,75.2,broken clouds,12.7525,4.7077,
444,Luanda,AO,67.05,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
446,Nnewi,NG,72.34,light rain,6.0199,6.9148,Conv-Aj Hotel
447,Hasaki,JP,81.0,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
449,Fuerte Olimpo,PY,87.22,scattered clouds,-21.0415,-57.8738,Hospedaje DAMI
452,Angoche,MZ,71.44,clear sky,-16.2325,39.9086,Guest House HESADA
453,Bonfim,BR,84.65,scattered clouds,3.0833,-59.95,
456,Solnechnyy,RU,66.34,few clouds,50.7214,136.6319,Hotel complex Pastoral
457,Southbridge,US,85.06,broken clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
460,Conde,BR,76.46,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
461,Goderich,CA,74.91,clear sky,43.7501,-81.7165,Harmony Inn
462,Manokwari,ID,77.38,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
463,Fort Nelson,CA,70.07,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
464,Boliqueime,PT,84.11,clear sky,37.1372,-8.1582,Hotel São Sebastião de Boliqueime
466,Yatou,CN,76.1,light rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
470,Presidencia Roque Saenz Pena,AR,72.12,clear sky,-26.7852,-60.4388,Hotel Gualok
471,Emirdag,TR,70.7,clear sky,39.0197,31.15,Emirdağ Öğretmenevi
